Company Name,Sector,Volatility Score
ADANIPORTS,Infrastructure,4.65
ASIANPAINT,Chemical,5.66
AXISBANK,Banking,21.49
BAJAJ-AUTO,Automobile,12.05
BAJAJFINSV,Financial Services,9.1
BAJFINANCE,Financial Services,13.69
BHARTIARTL,Telecommunications,5.7
BPCL,Energy,12.45
BRITANNIA,Consumer Goods,3.42
CIPLA,Pharmaceuticals,6.34
COALINDIA,Mining,10.94
DIVISLAB,Pharmaceuticals,1.57
DRREDDY,Pharmaceuticals,1.8
EICHERMOT,Automobile,5.77
GRASIM,Cement,3.08
HCLTECH,Information Technology,4.73
HDFC,Banking,5.72
HDFCBANK,Banking,9.88
HDFCLIFE,Financial Services,2.94
HEROMOTOCO,Automobile,6.43
HINDALCO,Metals,14.06
HINDUNILVR,Consumer Goods,3.94
ICICIBANK,Banking,13.14
INDUSINDBK,Banking,22.08
INFY,Information Technology,0.83
IOC,Energy,7.87
ITC,Consumer Goods,5.53
JSWSTEEL,Metals,9.27
KOTAKBANK,Banking,11.35
LT,Infrastructure,0.85
M&M,Automobile,4.42
MARUTI,Automobile,2.02
NESTLEIND,Consumer Goods,0.17
NTPC,Energy,10.16
ONGC,Energy,9.41
POWERGRID,Energy,6.36
RELIANCE,Energy,9.62
SBILIFE,Financial Services,3.52
SBIN,Banking,8.3
SHREECEM,Cement,6.76
SUNPHARMA,Pharmaceuticals,5.69
TATACONSUM,Consumer Goods,4.82
TATAMOTORS,Automobile,9.68
TATASTEEL,Metals,17.37
TCS,Information Technology,1.25
TECHM,Information Technology,2.83
TITAN,Consumer Goods,6.59
ULTRACEMCO,Cement,1.78
UPL,Chemical,1.37
WIPRO,Information Technology,7.01
